Company: Organization Name,Company: Organization Permalink,Company: Industries,Company: Headquarters Location,Company: Description,Company: CB Rank (Organization),Company: Stage,Company: CB Rank (Company),Company: Founded Date,Company: Investor Type,Company: Investment Stage,Company: Number of Investments,Company: Number of Funding Rounds,Company: Funding Status,Company: Last Funding Type,Company: Total Funding Amount,Company: Last Funding Amount,Company: Number Of Investors,Company: Revenue Range,Organization Permalink,Organization Name,Announced Date,Transaction Name,Transaction Link,Number of Investors,Money Raised,Lead Investors
DeepL,linguee,"Artificial Intelligence (AI), Generative AI, Software, Translation Service",Cologne,"DeepL is a software company that offers a communication platform for AI based translation, editing, and writing services.",553,,454,2017-08-01,,,,5,Raised,series_unknown,400000000,300000000,12,r_00000000,linguee,DeepL,"Jan 11, 2023",Venture Round - DeepL,https://www.crunchbase.com/funding_round/linguee-series-unknown--9f709974,9,$100M,IVP
DeepL,linguee,"Artificial Intelligence (AI), Generative AI, Software, Translation Service",Cologne,"DeepL is a software company that offers a communication platform for AI based translation, editing, and writing services.",553,,454,2017-08-01,,,,5,Raised,series_unknown,400000000,300000000,12,r_00000000,linguee,DeepL,"Dec 3, 2018",Series A - DeepL,https://www.crunchbase.com/funding_round/linguee-series-a--afd5857c,2,—,Benchmark
DeepL,linguee,"Artificial Intelligence (AI), Generative AI, Software, Translation Service",Cologne,"DeepL is a software company that offers a communication platform for AI based translation, editing, and writing services.",553,,454,2017-08-01,,,,5,Raised,series_unknown,400000000,300000000,12,r_00000000,linguee,DeepL,"Dec 1, 2010",Seed Round - DeepL,https://www.crunchbase.com/funding_round/linguee-seed--8c213849,1,—,b2venture
DeepL,linguee,"Artificial Intelligence (AI), Generative AI, Software, Translation Service",Cologne,"DeepL is a software company that offers a communication platform for AI based translation, editing, and writing services.",553,,454,2017-08-01,,,,5,Raised,series_unknown,400000000,300000000,12,r_00000000,linguee,DeepL,"Sep 1, 2009",Pre Seed Round - DeepL,https://www.crunchbase.com/funding_round/linguee-pre-seed--bda61d71,1,—,b2venture
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Nov 20, 2024",Secondary Market - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-secondary-market--3b881463,4,—,
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Nov 6, 2023",Series B - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-series-b--c1ce8946,10,$500M,"Bosch Ventures, Innovation Park Artificial Intelligence, Schwarz Group"
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Jul 18, 2023",Corporate Round - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-corporate-round--ffc9a3a5,2,—,
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Jul 27, 2021",Series A - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-series-a--2852fc25,6,€23M,"Earlybird Venture Capital, Lakestar, UVC Partners"
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Jan 27, 2021",Seed Round - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-seed--33dc7024,3,€5.3M,"468 Capital, LEA Partners"
Aleph Alpha,aleph-alpha,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",Heidelberg,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.",778,early_stage_venture,640,2019-01-31,,,,6,Raised,secondary_market,533602355,,15,r_00000000,aleph-alpha,Aleph Alpha,"Jan 1, 2020",Non Equity Assistance - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-non-equity-assistance--e65fee98,1,—,Public
