Round 1_Date,Round 1_Name,Round 1_InvestorsCount,Round 1_Sum,Round 1_LeadInvestors,Round 2_Date,Round 2_Name,Round 2_InvestorsCount,Round 2_Sum,Round 2_LeadInvestors,Round 3_Date,Round 3_Name,Round 3_InvestorsCount,Round 3_Sum,Round 3_LeadInvestors,Round 4_Date,Round 4_Name,Round 4_InvestorsCount,Round 4_Sum,Round 4_LeadInvestors,Round 5_Date,Round 5_Name,Round 5_InvestorsCount,Round 5_Sum,Round 5_LeadInvestors,Round 6_Date,Round 6_Name,Round 6_InvestorsCount,Round 6_Sum,Round 6_LeadInvestors,Round 7_Date,Round 7_Name,Round 7_InvestorsCount,Round 7_Sum,Round 7_LeadInvestors,Round 8_Date,Round 8_Name,Round 8_InvestorsCount,Round 8_Sum,Round 8_LeadInvestors,Round 9_Date,Round 9_Name,Round 9_InvestorsCount,Round 9_Sum,Round 9_LeadInvestors,Round 10_Date,Round 10_Name,Round 10_InvestorsCount,Round 10_Sum,Round 10_LeadInvestors
"Aug 1, 2017",Grant - diafyt MedTech,1,,European Union,"Mar 2, 2018",Seed Round - diafyt MedTech,1,,,"May 10, 2018",Grant - diafyt MedTech,1,,European Union,"May 10, 2018",Seed Round - diafyt MedTech,,,,"Feb 15, 2021",Seed Round - diafyt MedTech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2025",Grant - Truscova GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 25, 2021",Seed Round - Vyoma GmbH,1,,Atlantic Labs,"Jun 20, 2023",Seed Round - Vyoma GmbH,5,,Atlantic Labs,"Oct 3, 2023",Seed Round - Vyoma GmbH,1,,European Investment Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2017",Non Equity Assistance - Xayn,1,,,"Jun 5, 2018",Seed Round - Xayn,1,,Earlybird Venture Capital,"Jul 23, 2019",Venture Round - Xayn,1,,Dominik Schiener,"Aug 9, 2021",Series A - Xayn,3,,"Global Brain Corporation, KDDI Open Innovation Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 15, 2019",Series A - racksnet,3,,Hessen Kapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 24, 2017",Seed Round - Pravoved.ru,1,,AddVenture,"Mar 16, 2018",Series A - Pravoved.ru,2,,AddVenture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2022",Non Equity Assistance - DEEP SKIN AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2023",Pre Seed Round - EuroLeaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 1, 2021",Pre Seed Round - heronOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 18, 2023",Grant - Wegesrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2015",Angel Round - savedroid,3,,,"Jun 20, 2016",Seed Round - savedroid,4,,,"Apr 3, 2017",Venture Round - savedroid,3,,,"Jan 16, 2018",Venture Round - savedroid,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 30, 2018",Venture Round - Doctis,2,,Russian Direct Investment Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 3, 2020",Seed Round - SONAH GmbH,1,,,"Aug 24, 2021",Seed Round - SONAH GmbH,1,,,"Jul 31, 2023",Non Equity Assistance - SONAH GmbH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 26, 2017",Venture Round - Geosplit,1,,Rusnano Sistema Sicar,"Oct 2, 2019",Series B - Geosplit,1,,Rusnano Sistema Sicar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1, 2024",Convertible Note - ama,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 23, 2024",Pre Seed Round - QAI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 4, 2016",Pre Seed Round - Visitech,1,,,"Jul 4, 2019",Series A - Visitech,1,,Vostok Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 31, 2018",Seed Round - AutoFAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2021",Seed Round - Greple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 9, 2017",Seed Round - MountLytics,2,,TGFS - Technologiegründerfonds Sachsen,"Feb 13, 2018",Seed Round - MountLytics,2,,TGFS - Technologiegründerfonds Sachsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 9, 2017",Pre Seed Round - Pxio,1,,Saarländische Wagnisfinanzierungsgesellschaft,"Jan 20, 2018",Angel Round - Pxio,,,,"Jan 1, 2019",Grant - Pxio,1,,,"Jun 24, 2019",Seed Round - Pxio,2,,Investitions- und Strukturbank Rheinland-Pfalz,"Sep 24, 2019",Debt Financing - Pxio,,,,"Jun 25, 2022",Debt Financing - Pxio,,,,,,,,,,,,,,,,,,,,,,,
"Feb 13, 2018",Seed Round - Dbrain,3,,,"Jan 23, 2020",Seed Round - Dbrain,1,,,"Aug 24, 2020",Seed Round - Dbrain,1,,Y Combinator,"Aug 31, 2020",Pre Seed Round - Dbrain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2017",Seed Round - Coya,4,,Valar Ventures,"Jun 4, 2018",Series A - Coya,3,,Valar Ventures,"Jun 5, 2021",Venture Round - Coya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 4, 2024",Angel Round - COLEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 2, 2016",Seed Round - Konetik,,,,"Jul 7, 2016",Grant - Konetik,1,,Open Data Incubator for Europe (ODINE),"Nov 9, 2017",Seed Round - Konetik,1,,,"Nov 1, 2018",Grant - Konetik,1,,,"Apr 2, 2019",Seed Round - Konetik,1,,Data Pitch,,,,,,,,,,,,,,,,,,,,,,,,,
"May 1, 2021",Pre Seed Round - Forenamics,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 9, 2024",Non Equity Assistance - TMA. The Hazardous Goods Companion,1,,Techstars Alabama Power EnergyTech Accelerator,"Oct 1, 2024",Pre Seed Round - TMA. The Hazardous Goods Companion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 30, 2018",Grant - senswork,1,,,"Oct 26, 2020",Grant - senswork,1,,,"Nov 11, 2020",Grant - senswork,1,,,"Dec 12, 2022",Grant - senswork,1,,,"Nov 12, 2024",Grant - senswork,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 11, 2015",Grant - BEAD Technology,,,,"Feb 1, 2017",Venture Round - BEAD Technology,1,,,"Jul 31, 2017",Seed Round - BEAD Technology,1,,,"Nov 6, 2017",Seed Round - BEAD Technology,,,,"Jan 1, 2018",Seed Round - BEAD Technology,,,,"Sep 27, 2018",Grant - BEAD Technology,1,,European Data Incubator,"Feb 2, 2019",Grant - BEAD Technology,,,,"Feb 5, 2019",Convertible Note - BEAD Technology,1,,,"Mar 2, 2020",Convertible Note - BEAD Technology,1,,,"Jun 1, 2020",Non Equity Assistance - BEAD Technology,1,,
"Jan 18, 2021",Pre Seed Round - LegalAI,1,,,"Aug 23, 2022",Convertible Note - LegalAI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 16, 2017",Series A - Fraugster,3,,Earlybird Venture Capital,"Nov 7, 2018",Series B - Fraugster,6,,CommerzVentures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 19, 2016",Pre Seed Round - HorseAnalytics,1,,VentureVilla Accelerator,"May 1, 2018",Seed Round - HorseAnalytics,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 18, 2019",Pre Seed Round - MonitorFish,1,,FTTF,"Jun 29, 2020",Seed Round - MonitorFish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 14, 2022",Seed Round - Exely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2019",Angel Round - RecTag,,,,"Sep 1, 2019",Pre Seed Round - RecTag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 16, 2023",Pre Seed Round - Kern AI,11,,"Faber, Seedcamp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2020",Pre Seed Round - WARGdrones,,,,"Mar 31, 2021",Pre Seed Round - WARGdrones,,,,"Apr 1, 2022",Pre Seed Round - WARGdrones,,,,"Aug 1, 2022",Pre Seed Round - WARGdrones,,,,"May 15, 2023",Pre Seed Round - WARGdrones,,,,"Sep 19, 2024",Pre Seed Round - WARGdrones,1,,BUHLMANN GROUP,"Mar 1, 2025",Seed Round - WARGdrones,,,,,,,,,,,,,,,,,,
"Sep 17, 2019",Funding Round - MAPRO Management,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 2, 2012",Seed Round - BIPortal,,,,"Sep 2, 2019",Private Equity Round - BIPortal,,,,"Jan 2, 2020",Private Equity Round - BIPortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2017",Pre Seed Round - EMIIA.AI,1,,Vladimir Starostin,"Jan 1, 2021",Seed Round - EMIIA.AI,1,,FASIE,"Jul 1, 2021",Seed Round - EMIIA.AI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 30, 2021",Grant - dealcode AI,1,,IFB Innovationsstarter,"Dec 15, 2021",Pre Seed Round - dealcode AI,2,,"APX, Benjamin Schroeter","Jun 20, 2023",Seed Round - dealcode AI,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 9, 2019",Seed Round - EYWA Kitchen Hub,1,,Genezis Technology Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 19, 2015",Series A - BD4 - Human Touch E-Commerce,3,,Hoxton Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2018",Pre Seed Round - Super Izzy AI,1,,,"May 4, 2018",Seed Round - Super Izzy AI,3,,"Lutz Haase, Startup Campus, Startupbootcamp Digital Health Berlin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 5, 2019",Pre Seed Round - IQ-BEAT,,,,"Feb 28, 2020",Pre Seed Round - IQ-BEAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2019",Grant - SuperVision Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 1, 2022",Pre Seed Round - LucidWrite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 3, 2010",Seed Round - re2you,,,,"Feb 3, 2013",Seed Round - re2you,3,,,"Jan 1, 2015",Seed Round - re2you,,,,"Jun 6, 2017",Seed Round - re2you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 21, 2020",Non Equity Assistance - capsula.ai,1,,,"Aug 10, 2021",Grant - capsula.ai,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 12, 2023",Seed Round - CleoAI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 29, 2019",Seed Round - releva.nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2020",Pre Seed Round - boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 1, 2021",Pre Seed Round - Freshflow,1,,,"Apr 21, 2022",Seed Round - Freshflow,6,,"Capnamic, World Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 1, 2023",Pre Seed Round - F-One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2018",Pre Seed Round - Jetlex,1,,,"Dec 25, 2018",Pre Seed Round - Jetlex,,,,"Apr 26, 2019",Seed Round - Jetlex,,,,"Apr 24, 2020",Seed Round - Jetlex,1,,Moscow Seed Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 21, 2016",Grant - idalab,1,,Open Data Incubator for Europe (ODINE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 28, 2023",Angel Round - Biometriclabs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 28, 2023",Grant - SUMM,1,,CONTENTshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2016",Seed Round - chatShopper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2005",Pre Seed Round - Fridai the Gamer Assistant,,,,"Mar 4, 2019",Pre Seed Round - Fridai the Gamer Assistant,1,,APX,"Sep 28, 2019",Angel Round - Fridai the Gamer Assistant,1,,,"Jan 21, 2020",Pre Seed Round - Fridai the Gamer Assistant,1,,Startupbootcamp,"Oct 5, 2020",Pre Seed Round - Fridai the Gamer Assistant,1,,,"Oct 7, 2020",Angel Round - Fridai the Gamer Assistant,,,,,,,,,,,,,,,,,,,,,,,
"Nov 29, 2015",Non Equity Assistance - WearHealth,1,,VentureOut,"Jul 15, 2016",Grant - WearHealth,,,,"Jan 1, 2019",Grant - WearHealth,1,,,"Apr 5, 2019",Grant - WearHealth,1,,Agile Accelerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2021",Pre Seed Round - Cluster,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 21, 2021",Pre Seed Round - Ur-Li,,$67K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2022",Grant - Yurrobot,,RUB20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 13, 2020",Seed Round - KVINT,,$100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 20, 2022",Pre Seed Round - Sapiema,,€50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1, 2017",Venture Round - Verne,,€600K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2017",Seed Round - RiseML,6,$910.6K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 7, 2021",Angel Round - Treeps,1,$250K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 21, 2021",Pre Seed Round - Alocai,1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 5, 2022",Non Equity Assistance - KraLos,1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2019",Series A - inveox,,€17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 26, 2017",Seed Round - AIMO,3,€15K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2016",Venture Round - Weps,2,—,,"Jan 25, 2017",Convertible Note - Weps,1,€125K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2019",Pre Seed Round - Automatica,1,$20K,Winno Moscow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 27, 2018",Pre Seed Round - idatase GmbH,1,,,"Mar 1, 2019",Non Equity Assistance - idatase GmbH,1,,,"Mar 4, 2019",Pre Seed Round - idatase GmbH,2,,Techstars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 20, 2025",Seed Round - Pocket Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 13, 2019",Seed Round - ThreeB IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 10, 2017",Pre Seed Round - RealSynth,1,,,"Oct 1, 2017",Convertible Note - RealSynth,2,,,"Sep 28, 2018",Convertible Note - RealSynth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2018",Seed Round - Free Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2018",Seed Round - Heedbook,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 1, 2017",Seed Round - GitMate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 11, 2022",Angel Round - sensmore,7,,,"Jun 28, 2023",Non Equity Assistance - sensmore,1,,Google for Startups,"Sep 9, 2023",Non Equity Assistance - sensmore,1,,Creative Destruction Lab (CDL),"Aug 28, 2024",Funding Round - sensmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 15, 2016",Seed Round - Artisense Corporation,,,,"Apr 16, 2018",Seed Round - Artisense Corporation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2024",Seed Round - Scripe,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2024",Pre Seed Round - roofline,2,,First Momentum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 29, 2017",Seed Round - Exponenta,1,,Startup Sauna,"Jan 23, 2018",Seed Round - Exponenta,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 11, 2020",Pre Seed Round - The Story Market,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 7, 2024",Non Equity Assistance - FlyPix AI,1,,Seraphim Space Accelerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 9, 2020",Pre Seed Round - Antifraud Adviser,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 15, 2016",Seed Round - Deckard,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2018",Seed Round - Cashee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 13, 2016",Pre Seed Round - goedle.io,1,,Techstars,"Apr 2, 2019",Pre Seed Round - goedle.io,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 1, 2016",Seed Round - DataSmart,,,,"Jan 1, 2017",Angel Round - DataSmart,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 23, 2017",Seed Round - R-Visioneer Easy2See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 9, 2020",Pre Seed Round - KeyHabits,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 4, 2023",Pre Seed Round - Debtist,5,,"10x Value Partners, āltitude","Jan 1, 2025",Venture Round - Debtist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 9, 2024",Seed Round - FlowGen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 13, 2020",Seed Round - Application Traffic Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2018",Seed Round - HUMAN+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 5, 2016",Venture Round - Innoplexus,1,,,"Mar 3, 2017",Venture Round - Innoplexus,1,,,"Apr 24, 2019",Series C - Innoplexus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 5, 2019",Pre Seed Round - Résolla,,,,"Dec 25, 2019",Seed Round - Résolla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
